"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Arduino_Nano_v3.x","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","Module:Arduino_Nano","1",""
"C1,C2","100pF (101)","~","","2",""
"C3","22nF (223)","~","","1",""
"C4","3.3nF (332)","~","","1",""
"C5","2.2uF (225)","~","","1",""
"C6","100nF (104)","~","","1",""
"C7","10uF","~","","1",""
"D1,D2,D3,D4,D5,D6","BAT43","~","","6",""
"D7","LED_Filled","~","","1",""
"Decay1,R7,R8,R9,R13,Tone1,Tune1","100K","~","-- mixed values --","7",""
"J1","Trig","~","Library:EighthInch_PJ398SM_T_TN_S","1",""
"J2","Decay CV","~","Library:EighthInch_PJ398SM_T_TN_S","1",""
"J3","Tune CV","~","Library:EighthInch_PJ398SM_T_TN_S","1",""
"J4","Eurorack_Power_16pin_Shrouded","","Library:Pins_2x08_2.54mm_TH_EuroPower_Shrouded_Minimal","1",""
"J5","Out","~","Library:EighthInch_PJ398SM_T_TN_S","1",""
"Q1","2SC1815","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf","","1",""
"R1,R2,R3,R4,R5,R6","1K","~","","6",""
"R10","33K","~","","1",""
"R11","470","~","","1",""
"R12","2.7K","~","","1",""
